domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,0,2.0042473587494563,0.0,ok
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,1,4.000971544781811,0.0,ok
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,2,6.006509731445726,0.0,ok
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,3,6.163194102828922,0.0,ok
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,4,8.082873164463185,0.0,ok
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,5,10.131603852405018,0.0,ok
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,6,10.1447170256008,0.0,ok
square,N1curl,grad,2.0,1,256,0.39269908169872414,0.7853981633974483,545.0,7,11.250236256090421,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,0,2.0055274687050524,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,1,4.004640407557675,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,2,6.010490996553313,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,3,6.191621993939394,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,4,8.171030199390081,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,5,10.187796249036275,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,6,10.191472798918886,0.0,ok
square,N1curl,grad,2.0,2,1024,0.1963495408493623,0.3926990816987246,2113.0,7,11.360221733597058,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,0,2.0058641657051326,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,1,4.005639521524388,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,2,6.011584365551356,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,3,6.198670471324975,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,4,8.193524097791796,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,5,10.20217746181604,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,6,10.20312667453043,0.0,ok
square,N1curl,grad,2.0,3,4096,0.09817477042468159,0.19634954084936318,8321.0,7,11.386560321566133,0.0,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,0,4.002534470447013,0.0,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,1,7.696608459360996,0.0,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,2,11.966440667419587,0.0,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,3,11.986976566690753,0.0,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,4,14.596240988942037,-3.4665007750814114,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,5,14.596240988942037,3.4665007750814114,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,6,17.557667347072275,-16.42663761852252,ok
square,N1curl,grad,4.0,0,64,0.7853981633974483,3.141592653589793,145.0,7,17.557667347072275,16.42663761852252,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,0,4.00010335531348,0.0,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,1,7.990889239388651,0.0,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,2,11.996865694165018,0.0,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,3,12.011532782799307,0.0,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,4,15.716162783474802,0.0,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,5,19.98229464567962,-0.015162646478059063,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,6,19.98229464567962,0.015162646478059063,ok
square,N1curl,grad,4.0,1,256,0.39269908169872414,1.5707963267948966,545.0,7,20.222573052841167,0.0,ok
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,0,3.999994341512572,0.0,ok
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,1,7.999055497613041,0.0,ok
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,2,11.999201937434478,0.0,ok
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,3,12.00316665814022,0.0,ok
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,4,15.965444095864118,0.0,ok
